date,cpu_index,old_cpu_index
2021/9/1,326.1647915,197.78
2021/10/1,259.7489046,190.33
2021/11/1,411.2888056,383.52
2021/12/1,266.2633128,195.49
2022/1/1,209.0009394,
2022/2/1,221.277325,
2022/3/1,229.6155689,
2022/4/1,225.9682532,
2022/5/1,235.5590969,
2022/6/1,189.2958277,
2022/7/1,336.7758492,
2022/8/1,255.6456167,
2022/9/1,178.5962387,
2022/10/1,204.4393112,
2022/11/1,220.3033416,
2022/12/1,198.4815688,
2023/1/1,213.5660193,
2023/2/1,242.0564097,
2023/3/1,287.5295264,
2023/4/1,226.2019158,
2023/5/1,227.9405454,
2023/6/1,218.04583,
2023/7/1,231.7006585,
2023/8/1,153.4179509,
